"species","year","doy","lat","lon","elevation","temperature"
"Aster alpinus",1944,200,60.95,-138.42,NA,-4.67195121951216
"Aster alpinus",1998,207,39.83,-105.43,2585,8.00806451612906
"Aster alpinus",2001,189,39.83,-105.43,2591,5.65243902439028
"Aster alpinus",1981,145,39.73,-104.96,NA,10.1467741935484
"Aster alpinus",1971,177,60.5,59.94,NA,6.87926829268296
"Aster alpinus",2015,206,44.1,40.89,1150,9.18089430894312
"Aster alpinus",2015,176,43.78,42.21,2100,4.63780487804881
"Aster alpinus",1967,193,46.96,8.67,1930,2.83292682926832
"Aster alpinus",1950,155,46.25,7.88,701,9.77096774193551
"Aster alpinus",1949,213,46.02,7.77,2236,3.05760869565221
"Aster alpinus",1949,205,46.41,7.72,2657,-0.414130434782574
"Aster alpinus",1948,224,46.09,7.91,2101,1.42258064516132
"Aster alpinus",1945,197,46.11,7.92,1921,3.67580645161293
"Aster alpinus",1981,225,46.36,7.68,2297,-1.6322580645161
"Aster alpinus",1949,201,46.02,7.77,2236,3.05760869565221
"Aster alpinus",1982,181,46.15,7.64,2265,2.94838709677422
"Aster alpinus",1979,155,46.3,7.87,652,11.1684782608696
"Aster alpinus",1949,201,46.01,7.8,2557,0.760869565217425
"Aster alpinus",1975,204,46.37,7.97,2143,0.365447154471575
"Aster alpinus",1946,201,46.1,7.98,2200,2.14354838709681
"Aster alpinus",1978,192,46.19,8.09,1174,5.95000000000004
"Aster alpinus",1952,167,46.01,7.77,2103,3.88913043478264
"Aster alpinus",1946,184,46.09,7.4,1838,4.33548387096777
"Aster alpinus",2012,185,46.02,7.47,2266,2.78658536585369
"Aster alpinus",2014,203,46.03,7.48,2176,0.160569105691087
"Aster alpinus",1979,155,46.3,7.87,652,11.1684782608696
"Aster alpinus",1979,155,46.3,7.87,652,11.1684782608696
"Aster alpinus",1972,191,55.06,60.16,NA,7.64512195121954
"Aster alpinus",1990,158,54.18,59.66,NA,9.88495934959353
"Aster alpinus",1992,206,39.84,-105.65,3500,0.181707317073205
"Aster alpinus",1951,206,46.54,8.77,2500,-1.10365853658534
"Aster alpinus",2020,139,49.21,86.85,NA,5.32560975609759
"Aster alpinus",2013,203,39.49,-106.26,NA,-0.633739837398343
"Aster alpinus",2022,160,51.26,82.78,450,11.6743902439025
"Aster alpinus",2014,208,57.36,-123.86,1818,3.28252032520329
"Aster alpinus",2014,223,56.47,-88.14,NA,3.70691056910573
"Aster alpinus",1985,209,46.65,9.51,2100,2.9935483870968
"Aster alpinus",1974,196,65.4,-126.93,716,7.02065217391308
"Aster alpinus",1970,203,68.4,-138.33,610,1.23373983739841
"Aster alpinus",2015,207,42.18,23.33,2250,3.52886178861792
"Aster alpinus",1948,204,48.23,24.23,NA,4.73548387096778
"Aster alpinus",1978,211,48.23,24.23,NA,2.81935483870972
"Aster alpinus",1982,214,48.23,24.23,1790,4.80483870967745
"Aster alpinus",1961,207,47.96,24.47,NA,1.41451612903229
"Aster alpinus",1975,182,48.14,24.52,NA,4.94918699186995
"Aster alpinus",1985,202,50.07,86.32,1130,7.43870967741938
"Aster alpinus",1967,190,61.05,-138.37,792,4.41341463414638
"Aster alpinus",1959,188,46.85,9.21,2000,0.874390243902479
"Aster alpinus",1980,NA,46.86,9.84,2300,-0.307723577235733
"Aster alpinus",1995,175,46.73,10.1,NA,-0.490650406504031
"Aster alpinus",1997,211,46.72,10.16,2575,-2.40365853658533
"Aster alpinus",1945,210,46.76,9.51,2398,1.83225806451617
"Aster alpinus",1980,186,46.94,10.48,NA,4.65975609756101
"Aster alpinus",1947,175,46.45,9.97,NA,0.174390243902469
"Aster alpinus",1952,202,46.88,9.48,2200,3.45217391304351
"Aster alpinus",1980,186,46.94,10.48,NA,4.65975609756101
"Aster alpinus",1973,198,46.64,10.33,NA,2.68008130081304
"Aster alpinus",1952,199,46.43,10.04,2370,2.67826086956525
"Aster alpinus",1979,195,46.78,10.2,1630,5.06086956521742
"Aster alpinus",1951,231,46.98,10.37,NA,-0.621544715447117
"Aster alpinus",1951,199,46.4,9.65,1850,0.428861788617917
"Aster alpinus",1943,212,46.34,9.69,2700,-3.00203252032516
"Aster alpinus",1967,221,46.6,9.38,2300,-0.185772357723541
"Aster alpinus",1949,196,46.81,10.24,2400,1.07717391304351
"Aster alpinus",1980,186,46.94,10.48,NA,4.65975609756101
"Aster alpinus",1945,199,46.51,9.82,2430,2.55483870967745
